consonant	accuracy	freqToken	freqType	flToken	flType	complexity
dz	0.212	0.0042	0.0063	0.0021	0.003	1
ts	0.287	0.0112	0.0343	0.0013	0.0034	1
dZ	0.309	0.0246	0.0201	0.0065	0.0059	1
tS	0.552	0.0165	0.0224	0.0054	0.0065	1
s	0.319	0.0655	0.0766	0.0108	0.0134	1
S	0.388	0.0333	0.0444	0.0038	0.0073	1
t	0.672	0.0456	0.0819	0.01	0.0123	0
d	0.516	0.1023	0.0475	0.0123	0.0093	0
k	0.813	0.1557	0.1798	0.0174	0.019	0
g	0.513	0.0389	0.0343	0.0092	0.0094	0
