consonant	accuracy	freqToken	freqType	flToken	flType	complexity
k	0.837	0.0391	0.0923	0.005	0.0121	0
t	0.795	0.0504	0.0571	0.0052	0.011	0
s	0.491	0.0457	0.085	0.0062	0.0125	1
C	0.498	0.0042	0.0219	0.0018	0.0069	1
g	0.739	0.0425	0.0255	0.0044	0.0071	0
T	0.222	0.0126	0.0103	0.0019	0.0039	1
d	0.784	0.0498	0.0616	0.0062	0.011	0
S	0.509	0.017	0.0231	0.003	0.0068	1
